Inicio_exclusivo,Fecha,Dias_intervalo,Observado_PLM2,EE_repeticiones_PLM2,Sigma_ajuste_PLM2,Base_PLM2_ajuste,Calibrado_PLM2_ajuste,Fraccion_base_intervalo,Fraccion_calibrada_intervalo
2026-03-01,2026-03-26,25,2713.0,,271.3,2893.496775559337,2731.6901266949158,0.35159424549175067,0.3289084250346795
2026-03-26,2026-04-07,12,1453.0,,271.3,2664.2972448634455,1823.3209625428271,0.3237437786300734,0.21953647679953497
2026-04-07,2026-04-29,22,1567.0,,271.3,1821.6971928410223,1766.1416958495083,0.22135785857496448,0.21265182236199387
2026-04-29,2026-05-20,21,1606.0,,271.3,510.593663433775,829.4594795666559,0.062043198169164704,0.09987084859600648
2026-05-20,2026-06-03,14,266.0,,271.3,0.0015154892852374605,0.003123890762034172,1.8414995872628737e-07,3.76131238488675e-07
2026-06-03,2026-06-17,14,100.0,,271.3,204.9541014188024,504.1376789995692,0.024904359063905868,0.06070056350095887
2026-06-17,2026-07-16,29,113.0,,271.3,128.95712448479668,569.2239944885625,0.015669823193514065,0.06853726405114025
2026-07-16,2026-07-27,11,406.0,,271.3,0.002305277749850855,0.022199946596817285,2.801186432810354e-07,2.67297868072891e-06
2026-07-27,2026-08-15,19,0.0,,271.3,7.663105638560279e-05,0.0007380135716954351,9.311584059368272e-09,8.886032831778579e-08
2026-08-15,2026-09-01,17,0.0,,271.3,7.300258749092688e-10,7.029906556094239e-09,8.870681966755001e-14,8.464340339742193e-13
